xdata, curve0
1e-05,282.43
2e-05,281.76
3e-05,281.09
4e-05,280.41
5e-05,279.72
6e-05,279.03
7e-05,278.32
8e-05,277.61
9e-05,276.89
0.0001,276.16
0.00011,275.43
0.00012,274.68
0.00013,273.93
0.00014,273.17
0.00015,272.41
0.00016,271.63
0.00017,270.85
0.00018,270.06
0.00019,269.26
0.0002,268.46
0.00021,267.64
0.00022,266.82
0.00023,265.99
0.00024,265.16
0.00025,264.31
0.00026,263.46
0.00027,262.6
0.00028,261.73
0.00029,260.86
0.0003,259.97
0.00031,259.08
0.00032,258.18
0.00033,257.28
0.00034,256.36
0.00035,255.44
0.00036,254.51
0.00037,253.58
0.00038,252.63
0.00039,251.68
0.0004,250.72
0.00041,249.76
0.00042,248.79
0.00043,247.81
0.00044,246.82
0.00045,245.82
0.00046,244.82
0.00047,243.81
0.00048,242.8
0.00049,241.78
0.0005,240.75
0.00051,239.71
0.00052,238.67
0.00053,237.62
0.00054,236.56
0.00055,235.5
0.00056,234.43
0.00057,233.36
0.00058,232.27
0.00059,231.19
0.0006,230.09
0.00061,228.99
0.00062,227.88
0.00063,226.77
0.00064,225.65
0.00065,224.53
0.00066,223.4
0.00067,222.26
0.00068,221.12
0.00069,219.97
0.0007,218.82
0.00071,217.66
0.00072,216.49
0.00073,215.33
0.00074,214.15
0.00075,212.97
0.00076,211.79
0.00077,210.6
0.00078,209.4
0.00079,208.21
0.0008,207
0.00081,205.79
0.00082,204.58
0.00083,203.37
0.00084,202.15
0.00085,200.92
0.00086,199.69
0.00087,198.46
0.00088,197.22
0.00089,195.98
0.0009,194.74
0.00091,193.49
0.00092,192.24
0.00093,190.98
0.00094,189.72
0.00095,188.46
0.00096,187.2
0.00097,185.93
0.00098,184.66
0.00099,183.39
0.001,182.11
0.00101,180.84
0.00102,179.56
0.00103,178.27
0.00104,176.99
0.00105,175.7
0.00106,174.41
0.00107,173.12
0.00108,171.83
0.00109,170.54
0.0011,169.24
0.00111,167.94
0.00112,166.64
0.00113,165.34
0.00114,164.04
0.00115,162.74
0.00116,161.44
0.00117,160.14
0.00118,158.83
0.00119,157.53
0.0012,156.22
0.00121,154.92
0.00122,153.61
0.00123,152.31
0.00124,151
0.00125,149.7
0.00126,148.39
0.00127,147.09
0.00128,145.78
0.00129,144.48
0.0013,143.17
0.00131,141.87
0.00132,140.57
0.00133,139.27
0.00134,137.97
0.00135,136.67
0.00136,135.37
0.00137,134.08
0.00138,132.78
0.00139,131.49
0.0014,130.2
0.00141,128.91
0.00142,127.62
0.00143,126.34
0.00144,125.05
0.00145,123.77
0.00146,122.49
0.00147,121.21
0.00148,119.94
0.00149,118.67
0.0015,117.4
0.00151,116.13
0.00152,114.87
0.00153,113.61
0.00154,112.35
0.00155,111.1
0.00156,109.84
0.00157,108.6
0.00158,107.35
0.00159,106.11
0.0016,104.87
0.00161,103.64
0.00162,102.41
0.00163,101.18
0.00164,99.955
0.00165,98.735
0.00166,97.52
0.00167,96.308
0.00168,95.101
0.00169,93.897
0.0017,92.698
0.00171,91.503
0.00172,90.312
0.00173,89.126
0.00174,87.944
0.00175,86.767
0.00176,85.594
0.00177,84.426
0.00178,83.263
0.00179,82.104
0.0018,80.95
0.00181,79.801
0.00182,78.657
0.00183,77.518
0.00184,76.384
0.00185,75.254
0.00186,74.13
0.00187,73.011
0.00188,71.897
0.00189,70.788
0.0019,69.684
0.00191,68.585
0.00192,67.492
0.00193,66.404
0.00194,65.321
0.00195,64.244
0.00196,63.172
0.00197,62.105
0.00198,61.044
0.00199,59.988
0.002,58.937
0.00201,57.892
0.00202,56.853
0.00203,55.819
0.00204,54.79
0.00205,53.767
0.00206,52.749
0.00207,51.736
0.00208,50.73
0.00209,49.728
0.0021,48.732
0.00211,47.742
0.00212,46.757
0.00213,45.777
0.00214,44.803
0.00215,43.834
0.00216,42.871
0.00217,41.913
0.00218,40.96
0.00219,40.013
0.0022,39.071
0.00221,38.135
0.00222,37.203
0.00223,36.277
0.00224,35.356
0.00225,34.441
0.00226,33.53
0.00227,32.625
0.00228,31.725
0.00229,30.83
0.0023,29.94
0.00231,29.054
0.00232,28.174
0.00233,27.299
0.00234,26.428
0.00235,25.563
0.00236,24.702
0.00237,23.846
0.00238,22.994
0.00239,22.147
0.0024,21.305
0.00241,20.467
0.00242,19.634
0.00243,18.805
0.00244,17.98
0.00245,17.16
0.00246,16.343
0.00247,15.531
0.00248,14.723
0.00249,13.919
0.0025,13.119
0.00251,12.323
0.00252,11.531
0.00253,10.742
0.00254,9.9572
0.00255,9.1758
0.00256,8.3979
0.00257,7.6235
0.00258,6.8524
0.00259,6.0846
0.0026,5.32
0.00261,4.5585
0.00262,3.8001
0.00263,3.0446
0.00264,2.292
0.00265,1.5422
0.00266,0.79516
0.00267,0.050714
0.00268,-0.69119
0.00269,-1.4306
0.0027,-2.1677
0.00271,-2.9025
0.00272,-3.6351
0.00273,-4.3656
0.00274,-5.0941
0.00275,-5.8206
0.00276,-6.5454
0.00277,-7.2683
0.00278,-7.9897
0.00279,-8.7094
0.0028,-9.4277
0.00281,-10.145
0.00282,-10.86
0.00283,-11.575
0.00284,-12.288
0.00285,-13
0.00286,-13.712
0.00287,-14.423
0.00288,-15.132
0.00289,-15.842
0.0029,-16.551
0.00291,-17.259
0.00292,-17.967
0.00293,-18.675
0.00294,-19.382
0.00295,-20.09
0.00296,-20.797
0.00297,-21.505
0.00298,-22.213
0.00299,-22.921
0.003,-23.63
0.00301,-24.339
0.00302,-25.049
0.00303,-25.759
0.00304,-26.471
0.00305,-27.183
0.00306,-27.896
0.00307,-28.61
0.00308,-29.326
0.00309,-30.042
0.0031,-30.76
0.00311,-31.479
0.00312,-32.2
0.00313,-32.923
0.00314,-33.647
0.00315,-34.373
0.00316,-35.1
0.00317,-35.83
0.00318,-36.562
0.00319,-37.295
0.0032,-38.031
0.00321,-38.77
0.00322,-39.51
0.00323,-40.253
0.00324,-40.999
0.00325,-41.747
0.00326,-42.498
0.00327,-43.251
0.00328,-44.008
0.00329,-44.767
0.0033,-45.529
0.00331,-46.294
0.00332,-47.062
0.00333,-47.834
0.00334,-48.609
0.00335,-49.386
0.00336,-50.168
0.00337,-50.953
0.00338,-51.741
0.00339,-52.533
0.0034,-53.328
0.00341,-54.127
0.00342,-54.93
0.00343,-55.736
0.00344,-56.547
0.00345,-57.361
0.00346,-58.179
0.00347,-59.001
0.00348,-59.828
0.00349,-60.658
0.0035,-61.492
0.00351,-62.331
0.00352,-63.174
0.00353,-64.021
0.00354,-64.872
0.00355,-65.728
0.00356,-66.588
0.00357,-67.452
0.00358,-68.321
0.00359,-69.194
0.0036,-70.072
0.00361,-70.954
0.00362,-71.841
0.00363,-72.732
0.00364,-73.628
0.00365,-74.529
0.00366,-75.434
0.00367,-76.344
0.00368,-77.258
0.00369,-78.177
0.0037,-79.101
0.00371,-80.03
0.00372,-80.963
0.00373,-81.901
0.00374,-82.843
0.00375,-83.79
0.00376,-84.742
0.00377,-85.699
0.00378,-86.66
0.00379,-87.626
0.0038,-88.597
0.00381,-89.573
0.00382,-90.553
0.00383,-91.537
0.00384,-92.527
0.00385,-93.521
0.00386,-94.52
0.00387,-95.523
0.00388,-96.531
0.00389,-97.543
0.0039,-98.56
0.00391,-99.581
0.00392,-100.61
0.00393,-101.64
0.00394,-102.67
0.00395,-103.71
0.00396,-104.76
0.00397,-105.8
0.00398,-106.86
0.00399,-107.91
0.004,-108.97
0.00401,-110.04
0.00402,-111.11
0.00403,-112.18
0.00404,-113.26
0.00405,-114.34
0.00406,-115.42
0.00407,-116.51
0.00408,-117.6
0.00409,-118.7
0.0041,-119.8
0.00411,-120.9
0.00412,-122.01
0.00413,-123.12
0.00414,-124.23
0.00415,-125.35
0.00416,-126.47
0.00417,-127.6
0.00418,-128.72
0.00419,-129.86
0.0042,-130.99
0.00421,-132.13
0.00422,-133.27
0.00423,-134.41
0.00424,-135.55
0.00425,-136.7
0.00426,-137.85
0.00427,-139
0.00428,-140.16
0.00429,-141.32
0.0043,-142.48
0.00431,-143.64
0.00432,-144.81
0.00433,-145.97
0.00434,-147.14
0.00435,-148.31
0.00436,-149.48
0.00437,-150.66
0.00438,-151.83
0.00439,-153.01
0.0044,-154.19
0.00441,-155.37
0.00442,-156.55
0.00443,-157.73
0.00444,-158.91
0.00445,-160.1
0.00446,-161.28
0.00447,-162.47
0.00448,-163.66
0.00449,-164.84
0.0045,-166.03
0.00451,-167.22
0.00452,-168.41
0.00453,-169.6
0.00454,-170.78
0.00455,-171.97
0.00456,-173.16
0.00457,-174.35
0.00458,-175.54
0.00459,-176.72
0.0046,-177.91
0.00461,-179.1
0.00462,-180.28
0.00463,-181.47
0.00464,-182.65
0.00465,-183.84
0.00466,-185.02
0.00467,-186.2
0.00468,-187.38
0.00469,-188.55
0.0047,-189.73
0.00471,-190.91
0.00472,-192.08
0.00473,-193.25
0.00474,-194.42
0.00475,-195.59
0.00476,-196.75
0.00477,-197.91
0.00478,-199.07
0.00479,-200.23
0.0048,-201.39
0.00481,-202.54
0.00482,-203.69
0.00483,-204.84
0.00484,-205.98
0.00485,-207.12
0.00486,-208.26
